	1	2	3	4	5	6	7	8
0								
1	24.63	0.12	0.91	1.04	5.80	8.64	1.33	1.39
2	24.52	0.14	0.90	1.03	5.83	8.78	1.13	1.41
3	9.70	0.09	0.51	1.15	6.17	8.72	1.13	1.56
4	12.15	0.12	0.99	1.74	6.19	8.71	0.72	2.00
5	15.15	0.17	1.36	1.73	5.60	8.67	0.64	2.06
6	13.59	0.16	1.12	1.52	4.83	8.74	0.71	1.72
7	3.84	0.04	0.67	1.51	5.34	8.89	0.86	1.15
8	2.13	0.02	0.04	1.37	6.09	9.07	1.01	0.48
9	4.71	0.08	0.84	1.20	6.30	9.27	1.10	0.03
10	4.39	0.08	1.07	1.13	6.81	9.35	1.18	0.58
11	0.29	0.12	0.23	1.51	6.03	9.22	1.17	0.79
12	1.27	0.17	0.16	1.58	5.85	9.15	1.00	1.13
13	0.70	0.01	0.28	1.31	6.17	9.32	1.07	1.62
14	1.69	0.10	0.55	1.12	6.31	9.36	1.23	2.10
15	1.03	0.06	0.45	1.11	6.36	9.33	1.11	2.28
16	0.71	0.07	0.33	1.10	6.27	9.36	1.22	2.54
17	0.90	0.03	0.30	1.05	5.96	9.31	1.13	2.79
18	0.88	0.02	0.26	1.07	5.68	9.34	1.12	3.09
19	0.63	0.02	0.20	1.21	5.92	9.35	1.32	3.42
20	0.48	0.00	0.12	1.22	5.94	9.37	1.35	3.73
21	0.31	0.07	0.00	1.11	5.83	9.40	1.33	4.32
22	0.19	0.08	0.01	1.12	5.87	9.40	1.29	4.73
23	0.13	0.05	0.12	1.13	5.86	9.39	1.36	4.95
