	1	2	3	4	5	6	7	8
0	1.47	1.25	0.06	0.38	1.26	3.53	18.49	1.11
1	6.32	4.14	0.20	0.12	1.15	3.33	18.04	0.16
2	4.47	4.23	0.11	0.14	1.15	3.33	17.84	0.05
3	2.29	3.44	0.05	0.34	1.24	3.35	17.82	0.18
4	0.41	0.16	0.04	0.48	1.26	3.33	17.93	0.16
5	1.85	0.38	0.00	0.53	1.37	3.34	17.79	0.08
6	2.48	0.84	0.03	0.64	1.49	3.40	17.62	0.18
7	0.24	3.26	0.04	0.62	1.38	3.33	17.63	0.64
8	1.11	4.42	0.10	0.58	1.30	3.26	17.35	1.09
9	0.35	3.93	0.13	0.56	1.28	3.21	17.19	0.96
10	1.52	1.97	0.09	0.65	1.29	3.17	17.18	0.71
11	2.12	1.89	0.08	0.87	1.31	3.21	17.31	0.34
12	1.56	3.22	0.14	0.97	1.33	3.18	17.20	0.36
13	0.57	0.62	0.07	0.71	1.26	3.08	16.90	1.06
14	1.29	1.79	0.11	0.65	1.25	3.02	16.81	1.54
15	1.53	2.59	0.06	0.92	1.42	3.17	16.74	1.50
16	2.50	2.18	0.08	1.06	1.43	3.19	16.68	1.67
17	0.97	0.62	0.05	1.07	1.35	3.11	16.61	2.19
18	0.42	0.82	0.09	1.05	1.31	3.09	16.57	2.40
19	1.18	1.97	0.06	1.06	1.37	3.09	16.54	2.15
20	1.14	2.24	0.15	1.00	1.38	3.11	16.36	2.18
21	0.09	1.40	0.13	0.93	1.39	3.07	16.14	2.66
22	1.08	1.47	0.04	0.82	1.32	3.08	15.93	3.18
23	2.19	8.54	0.17	0.50	1.14	3.07	15.82	3.59
