	1	2	3	4	5	6	7	8
0	0.03	0.11	0.02	0.05	0.00	0.19	0.20	11.06
1	0.08	0.31	0.18	0.39	0.11	0.54	0.12	8.65
2	0.12	0.23	0.12	0.50	0.12	0.55	0.27	6.71
3	0.08	0.15	0.05	0.43	0.12	0.35	0.55	4.65
4	0.02	0.00	0.03	0.17	0.09	0.07	1.22	2.75
5	0.00	0.02	0.00	0.04	0.06	0.10	1.40	0.94
6	0.06	0.09	0.00	0.26	0.01	0.09	1.37	0.69
7	0.05	0.08	0.04	0.16	0.05	0.18	1.78	2.21
8	0.06	0.01	0.05	0.07	0.05	0.32	2.01	3.68
9	0.06	0.03	0.02	0.05	0.01	0.25	2.08	5.13
10	0.06	0.03	0.03	0.11	0.05	0.13	2.25	6.45
11	0.04	0.04	0.10	0.17	0.08	0.02	2.49	7.71
12	0.06	0.06	0.07	0.16	0.06	0.04	2.70	8.99
13	0.00	0.03	0.01	0.15	0.03	0.19	2.80	10.22
14	0.03	0.01	0.04	0.25	0.01	0.33	3.03	11.44
15	0.02	0.03	0.02	0.17	0.01	0.30	3.43	12.52
16	0.01	0.09	0.02	0.14	0.03	0.41	3.85	13.60
17	0.07	0.05	0.03	0.24	0.04	0.60	4.25	14.59
18	0.00	0.01	0.00	0.32	0.05	0.59	4.56	15.71
19	0.02	0.11	0.03	0.30	0.03	0.35	4.60	16.53
20	0.02	0.10	0.00	0.40	0.03	0.36	4.79	17.54
21	0.05	0.10	0.13	0.55	0.16	0.64	5.17	18.44
22	0.06	0.24	0.19	0.64	0.26	0.84	5.51	19.44
23	0.04	0.12	0.10	0.49	0.14	0.77	5.76	20.19
