	1	2	3	4	5	6	7	8
0	0.04	0.08	0.08	0.15	0.11	0.18	0.47	10.84
1	0.15	0.27	0.21	0.39	0.18	0.57	0.82	8.31
2	0.04	0.27	0.16	0.53	0.12	0.34	0.96	6.52
3	0.02	0.22	0.10	0.48	0.12	0.16	1.07	4.48
4	0.03	0.17	0.03	0.22	0.15	0.27	1.25	2.72
5	0.05	0.17	0.00	0.20	0.13	0.25	1.45	1.00
6	0.01	0.15	0.04	0.27	0.06	0.11	1.73	0.86
7	0.01	0.02	0.08	0.27	0.00	0.10	1.96	2.24
8	0.02	0.03	0.03	0.31	0.08	0.19	2.26	3.60
9	0.03	0.01	0.11	0.39	0.16	0.36	2.60	5.12
10	0.03	0.03	0.15	0.29	0.16	0.38	2.74	6.59
11	0.06	0.13	0.05	0.09	0.02	0.11	2.51	7.71
12	0.09	0.14	0.12	0.15	0.08	0.08	2.51	9.02
13	0.02	0.02	0.05	0.28	0.09	0.37	2.88	10.21
14	0.01	0.10	0.04	0.59	0.20	0.60	3.26	11.51
15	0.05	0.08	0.13	0.52	0.23	0.56	3.58	12.58
16	0.06	0.09	0.15	0.44	0.23	0.48	3.85	13.62
17	0.01	0.05	0.01	0.17	0.11	0.41	4.08	14.63
18	0.02	0.00	0.09	0.14	0.09	0.42	4.33	15.62
19	0.03	0.06	0.10	0.43	0.16	0.48	4.57	16.56
20	0.03	0.03	0.06	0.53	0.15	0.58	4.92	17.58
21	0.01	0.09	0.02	0.41	0.15	0.65	5.39	18.41
22	0.04	0.12	0.08	0.30	0.14	0.65	5.72	19.41
23	0.03	0.07	0.01	0.24	0.04	0.47	5.79	20.14
