	1	2	3	4	5	6	7	8
0	0.04	0.08	0.05	0.18	0.08	0.20	0.48	10.89
1	0.18	0.23	0.19	0.41	0.18	0.58	0.81	8.44
2	0.03	0.25	0.16	0.49	0.13	0.32	0.97	6.54
3	0.01	0.21	0.09	0.51	0.12	0.15	1.10	4.55
4	0.06	0.19	0.04	0.27	0.12	0.28	1.20	2.62
5	0.07	0.15	0.00	0.23	0.14	0.23	1.45	0.95
6	0.05	0.14	0.06	0.30	0.09	0.08	1.69	0.70
7	0.00	0.04	0.08	0.25	0.02	0.10	1.95	2.24
8	0.03	0.03	0.04	0.33	0.05	0.17	2.26	3.65
9	0.02	0.05	0.13	0.38	0.18	0.39	2.59	5.08
10	0.05	0.01	0.08	0.31	0.16	0.38	2.74	6.59
11	0.00	0.10	0.06	0.11	0.00	0.14	2.49	7.72
12	0.10	0.14	0.15	0.15	0.05	0.08	2.52	9.02
13	0.04	0.00	0.06	0.25	0.11	0.41	2.87	10.20
14	0.01	0.11	0.05	0.54	0.22	0.61	3.21	11.53
15	0.07	0.09	0.15	0.56	0.24	0.54	3.59	12.55
16	0.09	0.12	0.13	0.44	0.19	0.49	3.85	13.62
17	0.05	0.05	0.00	0.18	0.12	0.41	4.09	14.58
18	0.01	0.02	0.12	0.14	0.10	0.37	4.33	15.66
19	0.02	0.05	0.07	0.41	0.12	0.49	4.60	16.62
20	0.05	0.04	0.05	0.50	0.14	0.60	4.95	17.44
21	0.01	0.06	0.02	0.40	0.16	0.66	5.40	18.44
22	0.02	0.12	0.06	0.29	0.12	0.67	5.72	19.40
23	0.02	0.07	0.03	0.24	0.07	0.48	5.76	20.16
