	1	2	3	4	5	6	7	8
0	0.00	0.00	0.06	0.18	0.42	5.75	13.57	40.20
1	0.02	0.02	0.09	0.20	0.46	8.12	16.19	36.94
2	0.01	0.10	0.00	0.36	0.57	10.70	18.72	34.16
3	0.00	0.12	0.10	0.47	0.59	13.47	21.35	31.35
4	0.00	0.08	0.05	0.35	0.41	9.01	21.57	28.87
5	0.02	0.04	0.03	0.32	0.29	4.94	21.65	26.63
6	0.01	0.04	0.07	0.29	0.22	0.91	21.91	24.12
7	0.01	0.07	0.01	0.36	0.16	1.95	22.16	22.12
8	0.02	0.03	0.12	0.42	0.12	4.62	22.14	20.09
9	0.01	0.15	0.28	0.49	0.08	6.13	21.59	18.21
10	0.08	0.12	0.53	0.61	0.30	6.71	22.38	16.20
11	0.22	1.18	1.09	0.94	0.81	5.20	25.55	14.52
12	0.28	1.71	1.17	1.06	0.97	4.77	27.12	12.68
13	0.25	1.02	0.74	0.92	0.50	5.97	26.01	11.04
14	0.17	0.37	0.19	0.54	0.03	12.92	24.48	9.19
15	0.05	0.11	0.09	0.20	0.44	29.43	21.88	7.56
16	0.01	0.22	0.32	0.43	0.54	38.49	20.51	5.86
17	0.05	0.19	0.22	0.05	0.31	38.18	21.01	4.32
18	0.06	0.35	0.09	0.25	0.24	41.68	20.94	2.77
19	0.10	0.10	0.26	0.18	0.56	50.81	19.88	1.29
20	0.10	0.40	0.25	0.16	0.70	63.66	18.53	0.15
21	0.08	0.52	0.30	0.63	0.51	77.09	17.08	1.68
22	0.09	1.00	0.90	0.84	0.68	91.93	15.03	3.23
23	0.31	2.07	1.10	0.27	1.58	107.75	12.34	4.37
