	1	2	3	4	5	6	7	8
0	0.04	0.08	0.10	0.14	0.06	0.18	0.47	10.86
1	0.16	0.27	0.19	0.42	0.19	0.57	0.81	8.38
2	0.03	0.23	0.11	0.50	0.14	0.31	0.96	6.48
3	0.00	0.27	0.12	0.48	0.09	0.13	1.05	4.56
4	0.08	0.16	0.04	0.24	0.15	0.26	1.20	2.69
5	0.05	0.13	0.02	0.22	0.15	0.27	1.44	1.00
6	0.04	0.16	0.09	0.30	0.06	0.12	1.70	0.75
7	0.00	0.01	0.08	0.28	0.04	0.13	2.01	2.20
8	0.01	0.02	0.02	0.30	0.05	0.18	2.24	3.60
9	0.06	0.01	0.12	0.41	0.19	0.41	2.61	5.12
10	0.03	0.02	0.12	0.30	0.17	0.42	2.70	6.56
11	0.02	0.12	0.09	0.10	0.01	0.14	2.49	7.75
12	0.07	0.13	0.18	0.14	0.08	0.09	2.53	9.05
13	0.03	0.01	0.06	0.27	0.10	0.43	2.89	10.21
14	0.02	0.10	0.03	0.58	0.18	0.58	3.26	11.47
15	0.05	0.07	0.13	0.53	0.22	0.54	3.59	12.62
16	0.06	0.08	0.14	0.40	0.19	0.50	3.85	13.58
17	0.03	0.06	0.00	0.24	0.12	0.40	4.10	14.64
18	0.00	0.05	0.09	0.15	0.12	0.40	4.33	15.62
19	0.00	0.06	0.08	0.40	0.14	0.49	4.59	16.58
20	0.01	0.02	0.04	0.54	0.16	0.57	4.94	17.55
21	0.01	0.07	0.03	0.45	0.16	0.68	5.43	18.46
22	0.02	0.08	0.06	0.28	0.12	0.67	5.73	19.34
23	0.05	0.06	0.01	0.22	0.10	0.45	5.81	20.15
