	1	2	3	4	5	6	7	8
0	0.04	0.08	0.08	0.16	0.08	0.19	0.46	10.80
1	0.15	0.22	0.17	0.38	0.17	0.57	0.82	8.41
2	0.04	0.25	0.13	0.51	0.15	0.31	0.94	6.50
3	0.04	0.21	0.10	0.50	0.07	0.17	1.10	4.60
4	0.05	0.18	0.03	0.27	0.16	0.29	1.20	2.69
5	0.07	0.14	0.04	0.20	0.12	0.26	1.42	0.97
6	0.01	0.18	0.08	0.27	0.03	0.10	1.68	0.80
7	0.01	0.00	0.09	0.31	0.00	0.11	1.97	2.16
8	0.00	0.04	0.03	0.34	0.08	0.18	2.28	3.61
9	0.02	0.01	0.11	0.39	0.17	0.40	2.61	5.13
10	0.04	0.04	0.13	0.30	0.15	0.38	2.71	6.59
11	0.03	0.13	0.05	0.08	0.02	0.13	2.51	7.75
12	0.10	0.13	0.15	0.13	0.09	0.09	2.53	8.98
13	0.02	0.03	0.02	0.28	0.10	0.38	2.89	10.23
14	0.04	0.09	0.07	0.53	0.21	0.59	3.26	11.48
15	0.07	0.08	0.14	0.52	0.24	0.57	3.55	12.56
16	0.09	0.06	0.14	0.41	0.24	0.49	3.88	13.65
17	0.03	0.04	0.01	0.22	0.12	0.41	4.07	14.60
18	0.03	0.02	0.08	0.16	0.07	0.42	4.33	15.67
19	0.01	0.05	0.06	0.41	0.17	0.47	4.61	16.51
20	0.05	0.04	0.01	0.53	0.18	0.59	4.93	17.58
21	0.01	0.05	0.05	0.37	0.15	0.67	5.39	18.45
22	0.00	0.14	0.02	0.29	0.12	0.66	5.74	19.39
23	0.03	0.08	0.01	0.22	0.11	0.46	5.78	20.18
