	1	2	3	4	5	6	7	8
0	0.05	0.09	0.06	0.17	0.08	0.18	0.47	10.83
1	0.13	0.25	0.22	0.39	0.19	0.55	0.83	8.38
2	0.03	0.25	0.13	0.48	0.11	0.29	0.97	6.49
3	0.00	0.23	0.09	0.52	0.10	0.17	1.10	4.51
4	0.07	0.17	0.00	0.23	0.16	0.28	1.24	2.67
5	0.08	0.14	0.00	0.22	0.11	0.24	1.42	1.05
6	0.01	0.13	0.05	0.29	0.08	0.09	1.72	0.73
7	0.03	0.04	0.09	0.33	0.03	0.11	1.99	2.28
8	0.02	0.06	0.00	0.31	0.05	0.21	2.27	3.63
9	0.04	0.06	0.12	0.40	0.15	0.39	2.61	5.14
10	0.04	0.02	0.13	0.30	0.15	0.43	2.76	6.47
11	0.06	0.07	0.06	0.10	0.01	0.13	2.52	7.75
12	0.10	0.14	0.11	0.15	0.11	0.07	2.53	8.98
13	0.00	0.02	0.05	0.29	0.07	0.40	2.87	10.29
14	0.04	0.10	0.04	0.58	0.23	0.60	3.26	11.48
15	0.06	0.07	0.14	0.57	0.24	0.59	3.61	12.54
16	0.05	0.04	0.14	0.41	0.19	0.49	3.85	13.61
17	0.04	0.04	0.01	0.19	0.14	0.43	4.06	14.61
18	0.00	0.02	0.12	0.17	0.10	0.37	4.30	15.56
19	0.00	0.06	0.06	0.45	0.16	0.48	4.62	16.63
20	0.02	0.06	0.03	0.52	0.16	0.60	4.96	17.53
21	0.02	0.06	0.02	0.41	0.15	0.69	5.41	18.49
22	0.02	0.11	0.04	0.30	0.15	0.68	5.74	19.31
23	0.02	0.03	0.01	0.21	0.07	0.46	5.76	20.16
