	1	2	3	4	5	6	7	8
0	0.05	0.10	0.10	0.16	0.07	0.19	0.48	10.86
1	0.12	0.25	0.19	0.40	0.18	0.58	0.83	8.41
2	0.03	0.22	0.15	0.49	0.14	0.33	0.93	6.43
3	0.04	0.24	0.09	0.50	0.10	0.13	1.09	4.52
4	0.06	0.17	0.05	0.23	0.18	0.26	1.24	2.70
5	0.07	0.16	0.03	0.20	0.13	0.24	1.44	0.94
6	0.02	0.13	0.05	0.30	0.08	0.13	1.71	0.84
7	0.03	0.02	0.08	0.29	0.02	0.11	1.99	2.28
8	0.00	0.07	0.02	0.31	0.05	0.20	2.27	3.57
9	0.04	0.00	0.10	0.41	0.15	0.41	2.63	5.15
10	0.00	0.01	0.14	0.27	0.17	0.39	2.73	6.52
11	0.07	0.11	0.06	0.09	0.01	0.13	2.52	7.74
12	0.11	0.13	0.15	0.15	0.07	0.09	2.53	8.99
13	0.02	0.01	0.04	0.30	0.08	0.38	2.90	10.19
14	0.01	0.10	0.06	0.55	0.16	0.60	3.25	11.48
15	0.03	0.07	0.14	0.54	0.25	0.60	3.58	12.52
16	0.04	0.06	0.14	0.40	0.21	0.50	3.85	13.66
17	0.04	0.04	0.01	0.20	0.09	0.40	4.11	14.66
18	0.01	0.02	0.10	0.17	0.11	0.38	4.29	15.61
19	0.05	0.06	0.06	0.39	0.16	0.44	4.57	16.55
20	0.00	0.04	0.08	0.52	0.16	0.59	4.97	17.48
21	0.00	0.07	0.04	0.42	0.17	0.68	5.41	18.46
22	0.03	0.10	0.04	0.31	0.12	0.67	5.72	19.36
23	0.02	0.03	0.00	0.22	0.10	0.47	5.77	20.14
