	Q2_mean	D_ff	D_ff_plus_replica_1	D_ff_plus_replica_2	D_ff_plus_replica_3	D_ff_plus_replica_4	D_ff_plus_replica_5	D_ff_plus_replica_6	D_ff_plus_replica_7	D_ff_plus_replica_8	D_ff_minus_replica_1	D_ff_minus_replica_2	D_ff_minus_replica_3	D_ff_minus_replica_4	D_ff_minus_replica_5	D_ff_minus_replica_6	D_ff_minus_replica_7	D_ff_minus_replica_8
0	1.166761e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	1.555900e+01	6.248454e-03	1.709372e-06	3.726393e-04	-5.086331e-05	-1.900806e-04	7.727835e-05	-3.731324e-04	1.584317e-04	1.113117e-04	-2.130475e-06	-3.730849e-04	5.040158e-05	1.920510e-04	-8.176035e-05	3.408938e-04	-1.605441e-04	-1.097680e-04
2	2.074827e+01	6.422936e-02	1.760805e-05	3.830723e-03	-5.230136e-04	-1.954829e-03	7.951485e-04	-3.838354e-03	1.630974e-03	1.144336e-03	-2.192471e-05	-3.836119e-03	5.182871e-04	1.974968e-03	-8.414946e-04	3.501288e-03	-1.649330e-03	-1.128209e-03
3	2.766826e+01	1.115892e-01	3.974881e-05	6.652618e-03	-9.092336e-04	-3.386103e-03	1.392128e-03	-6.659489e-03	2.839952e-03	1.979640e-03	-4.360343e-05	-6.658930e-03	9.046306e-04	3.425123e-03	-1.477986e-03	6.078604e-03	-2.871992e-03	-1.948673e-03
4	3.689621e+01	1.112082e-01	7.122636e-05	6.609919e-03	-9.055937e-04	-3.337633e-03	1.430749e-03	-6.602925e-03	2.850365e-03	1.939191e-03	-6.256975e-05	-6.601725e-03	9.145232e-04	3.395820e-03	-1.519247e-03	6.027818e-03	-2.871003e-03	-1.900355e-03
5	4.920189e+01	1.107664e-01	9.869541e-05	6.565958e-03	-9.104678e-04	-3.305757e-03	1.473192e-03	-6.556943e-03	2.855003e-03	1.897814e-03	-8.373987e-05	-6.554954e-03	9.228111e-04	3.363093e-03	-1.555624e-03	5.988184e-03	-2.873355e-03	-1.858791e-03
6	6.561178e+01	1.103205e-01	1.267040e-04	6.514818e-03	-9.200654e-04	-3.274944e-03	1.517429e-03	-6.507835e-03	2.856409e-03	1.848925e-03	-1.094864e-04	-6.504317e-03	9.303541e-04	3.324584e-03	-1.590744e-03	5.938739e-03	-2.876769e-03	-1.817204e-03
7	8.749471e+01	1.099414e-01	1.418644e-04	6.464007e-03	-9.237221e-04	-3.244339e-03	1.545209e-03	-6.462437e-03	2.852730e-03	1.807400e-03	-1.364128e-04	-6.461595e-03	9.299000e-04	3.293267e-03	-1.627753e-03	5.887824e-03	-2.877228e-03	-1.786641e-03
8	1.166761e+02	1.095393e-01	1.567063e-04	6.418028e-03	-9.287543e-04	-3.214898e-03	1.571263e-03	-6.423280e-03	2.849319e-03	1.764362e-03	-1.600403e-04	-6.419498e-03	9.291138e-04	3.258996e-03	-1.666880e-03	5.840600e-03	-2.878232e-03	-1.755841e-03
9	1.555900e+02	1.091255e-01	1.713970e-04	6.377246e-03	-9.359257e-04	-3.187257e-03	1.598857e-03	-6.388118e-03	2.848052e-03	1.724605e-03	-1.794627e-04	-6.382180e-03	9.280458e-04	3.225596e-03	-1.699588e-03	5.795735e-03	-2.879319e-03	-1.725134e-03
10	2.074827e+02	1.087015e-01	1.867443e-04	6.337853e-03	-9.391209e-04	-3.157194e-03	1.622392e-03	-6.344404e-03	2.844296e-03	1.685999e-03	-1.949424e-04	-6.342818e-03	9.290857e-04	3.192793e-03	-1.732872e-03	5.751316e-03	-2.877764e-03	-1.695723e-03
11	2.766826e+02	1.082926e-01	2.023430e-04	6.306533e-03	-9.359766e-04	-3.122260e-03	1.651088e-03	-6.292918e-03	2.840982e-03	1.658534e-03	-2.029279e-04	-6.298903e-03	9.338428e-04	3.169518e-03	-1.750686e-03	5.712457e-03	-2.874135e-03	-1.671601e-03
12	3.689621e+02	1.079262e-01	2.180089e-04	6.268564e-03	-9.342319e-04	-3.092823e-03	1.678342e-03	-6.248151e-03	2.840507e-03	1.628282e-03	-2.152320e-04	-6.258167e-03	9.357713e-04	3.141547e-03	-1.776552e-03	5.676201e-03	-2.868818e-03	-1.646668e-03
13	4.920189e+02	1.074887e-01	2.318198e-04	6.226835e-03	-9.349355e-04	-3.071443e-03	1.698054e-03	-6.216173e-03	2.836823e-03	1.599453e-03	-2.334502e-04	-6.226505e-03	9.323006e-04	3.111566e-03	-1.802822e-03	5.636950e-03	-2.867316e-03	-1.625363e-03
14	6.561178e+02	1.070901e-01	2.451493e-04	6.182596e-03	-9.342412e-04	-3.045551e-03	1.720799e-03	-6.176523e-03	2.829780e-03	1.569601e-03	-2.492823e-04	-6.188933e-03	9.291052e-04	3.079713e-03	-1.829298e-03	5.598221e-03	-2.864662e-03	-1.602522e-03
