	Q2_mean	D_ff	D_ff_plus_replica_1	D_ff_plus_replica_2	D_ff_plus_replica_3	D_ff_plus_replica_4	D_ff_plus_replica_5	D_ff_plus_replica_6	D_ff_plus_replica_7	D_ff_plus_replica_8	D_ff_minus_replica_1	D_ff_minus_replica_2	D_ff_minus_replica_3	D_ff_minus_replica_4	D_ff_minus_replica_5	D_ff_minus_replica_6	D_ff_minus_replica_7	D_ff_minus_replica_8
0	1.166761e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	1.555900e+01	6.246171e-03	1.711738e-06	3.725580e-04	-5.086183e-05	-1.900669e-04	7.711631e-05	-3.732061e-04	1.586606e-04	1.112562e-04	-2.132738e-06	-3.731644e-04	5.040312e-05	1.921192e-04	-8.194371e-05	3.406673e-04	-1.605438e-04	-1.097207e-04
2	2.074827e+01	6.422230e-02	1.757304e-05	3.830479e-03	-5.230740e-04	-1.954526e-03	7.934103e-04	-3.836211e-03	1.631153e-03	1.144636e-03	-2.191095e-05	-3.837479e-03	5.182817e-04	1.975312e-03	-8.419550e-04	3.501446e-03	-1.650345e-03	-1.128450e-03
3	2.766826e+01	1.115988e-01	3.973332e-05	6.652920e-03	-9.089904e-04	-3.385681e-03	1.393447e-03	-6.660836e-03	2.839491e-03	1.980780e-03	-4.361484e-05	-6.658907e-03	9.046841e-04	3.425269e-03	-1.476072e-03	6.079832e-03	-2.872030e-03	-1.949966e-03
4	3.689621e+01	1.111569e-01	7.126549e-05	6.610042e-03	-9.058046e-04	-3.338203e-03	1.431888e-03	-6.604033e-03	2.853066e-03	1.938741e-03	-6.255157e-05	-6.602251e-03	9.146253e-04	3.395301e-03	-1.519308e-03	6.033791e-03	-2.869823e-03	-1.899326e-03
5	4.920189e+01	1.107587e-01	9.863953e-05	6.565058e-03	-9.103571e-04	-3.306073e-03	1.471645e-03	-6.561937e-03	2.855090e-03	1.897463e-03	-8.376748e-05	-6.554798e-03	9.227300e-04	3.361682e-03	-1.557693e-03	5.986880e-03	-2.872017e-03	-1.858284e-03
6	6.561178e+01	1.103042e-01	1.268352e-04	6.513677e-03	-9.199040e-04	-3.274942e-03	1.516571e-03	-6.508548e-03	2.853196e-03	1.848358e-03	-1.094786e-04	-6.504050e-03	9.303066e-04	3.325766e-03	-1.591160e-03	5.939443e-03	-2.874194e-03	-1.818181e-03
7	8.749471e+01	1.099387e-01	1.419332e-04	6.463417e-03	-9.236826e-04	-3.244491e-03	1.542566e-03	-6.465487e-03	2.851880e-03	1.808078e-03	-1.363476e-04	-6.460359e-03	9.297820e-04	3.293217e-03	-1.627261e-03	5.890733e-03	-2.875117e-03	-1.787106e-03
8	1.166761e+02	1.095382e-01	1.567838e-04	6.416353e-03	-9.286916e-04	-3.213965e-03	1.574215e-03	-6.421906e-03	2.850091e-03	1.766400e-03	-1.599977e-04	-6.420051e-03	9.289868e-04	3.258963e-03	-1.663046e-03	5.837876e-03	-2.878255e-03	-1.756415e-03
9	1.555900e+02	1.091176e-01	1.714670e-04	6.376749e-03	-9.357223e-04	-3.186714e-03	1.600115e-03	-6.385481e-03	2.847374e-03	1.724580e-03	-1.794364e-04	-6.382959e-03	9.279211e-04	3.224782e-03	-1.699577e-03	5.795840e-03	-2.877524e-03	-1.725296e-03
10	2.074827e+02	1.087116e-01	1.868048e-04	6.337931e-03	-9.390722e-04	-3.158181e-03	1.622615e-03	-6.345086e-03	2.843113e-03	1.687083e-03	-1.948898e-04	-6.342840e-03	9.289268e-04	3.194097e-03	-1.729294e-03	5.753598e-03	-2.877140e-03	-1.696107e-03
11	2.766826e+02	1.083124e-01	2.024899e-04	6.308059e-03	-9.360128e-04	-3.122797e-03	1.651575e-03	-6.293508e-03	2.840727e-03	1.658324e-03	-2.029226e-04	-6.298940e-03	9.339323e-04	3.169620e-03	-1.755093e-03	5.714978e-03	-2.869492e-03	-1.670625e-03
12	3.689621e+02	1.079016e-01	2.178243e-04	6.269276e-03	-9.342188e-04	-3.092521e-03	1.676892e-03	-6.248954e-03	2.839965e-03	1.628197e-03	-2.151234e-04	-6.257750e-03	9.357185e-04	3.141458e-03	-1.773822e-03	5.678116e-03	-2.866567e-03	-1.647727e-03
13	4.920189e+02	1.075070e-01	2.318162e-04	6.225980e-03	-9.349786e-04	-3.070800e-03	1.700612e-03	-6.214258e-03	2.837025e-03	1.598402e-03	-2.334624e-04	-6.226337e-03	9.323130e-04	3.113124e-03	-1.802483e-03	5.635521e-03	-2.867115e-03	-1.624875e-03
14	6.561178e+02	1.070814e-01	2.450838e-04	6.182531e-03	-9.340974e-04	-3.046098e-03	1.718884e-03	-6.177945e-03	2.830146e-03	1.569588e-03	-2.492995e-04	-6.188367e-03	9.287944e-04	3.080640e-03	-1.829421e-03	5.597465e-03	-2.866750e-03	-1.603032e-03
15	8.749471e+02	1.067081e-01	2.545142e-04	6.148100e-03	-9.302826e-04	-3.019785e-03	1.736923e-03	-6.137487e-03	2.822455e-03	1.546323e-03	-2.571439e-04	-6.153498e-03	9.262680e-04	3.053337e-03	-1.851427e-03	5.562074e-03	-2.854918e-03	-1.581790e-03
