	Q2_mean	D_ff	D_ff_plus_replica_1	D_ff_plus_replica_2	D_ff_plus_replica_3	D_ff_plus_replica_4	D_ff_plus_replica_5	D_ff_plus_replica_6	D_ff_plus_replica_7	D_ff_plus_replica_8	D_ff_minus_replica_1	D_ff_minus_replica_2	D_ff_minus_replica_3	D_ff_minus_replica_4	D_ff_minus_replica_5	D_ff_minus_replica_6	D_ff_minus_replica_7	D_ff_minus_replica_8
0	1.166761e+01	2.462598e-01	3.544777e-04	4.454108e-04	1.073854e-02	6.229738e-03	-1.291510e-02	1.428135e-02	-9.783091e-03	-3.468015e-03	-3.492720e-04	-4.509874e-04	-1.073245e-02	-6.206276e-03	1.307743e-02	-1.377788e-02	1.159246e-02	3.506682e-03
1	1.555900e+01	2.460545e-01	3.688636e-04	4.201440e-04	1.068634e-02	6.130465e-03	-1.282071e-02	1.420096e-02	-9.798235e-03	-3.509375e-03	-3.921662e-04	-4.375562e-04	-1.070774e-02	-6.137708e-03	1.296773e-02	-1.372837e-02	1.156546e-02	3.503673e-03
2	2.074827e+01	2.457004e-01	3.945266e-04	4.136164e-04	1.065921e-02	6.079166e-03	-1.273948e-02	1.414852e-02	-9.780936e-03	-3.517848e-03	-4.121623e-04	-4.311102e-04	-1.067142e-02	-6.070767e-03	1.288583e-02	-1.367788e-02	1.152572e-02	3.519472e-03
3	2.766826e+01	2.453801e-01	4.241019e-04	4.061409e-04	1.062816e-02	6.015072e-03	-1.263841e-02	1.409010e-02	-9.761977e-03	-3.525637e-03	-4.338251e-04	-4.201221e-04	-1.063296e-02	-5.994808e-03	1.279477e-02	-1.361865e-02	1.150190e-02	3.531940e-03
4	3.689621e+01	2.449122e-01	4.555012e-04	3.994284e-04	1.059173e-02	5.955666e-03	-1.256527e-02	1.402857e-02	-9.742942e-03	-3.533427e-03	-4.536416e-04	-4.000600e-04	-1.059619e-02	-5.927143e-03	1.272368e-02	-1.356187e-02	1.148973e-02	3.527914e-03
5	4.920189e+01	2.444804e-01	4.814103e-04	3.890227e-04	1.055904e-02	5.897718e-03	-1.248350e-02	1.397401e-02	-9.723387e-03	-3.534169e-03	-4.725021e-04	-3.875329e-04	-1.055927e-02	-5.866532e-03	1.265456e-02	-1.350791e-02	1.145272e-02	3.531190e-03
6	6.561178e+01	2.439408e-01	5.070947e-04	3.756386e-04	1.052193e-02	5.843099e-03	-1.239720e-02	1.391894e-02	-9.692890e-03	-3.530672e-03	-4.945302e-04	-3.787890e-04	-1.051870e-02	-5.805572e-03	1.258136e-02	-1.344537e-02	1.140087e-02	3.537184e-03
7	8.749471e+01	2.434641e-01	5.122445e-04	3.689150e-04	1.048416e-02	5.806290e-03	-1.233299e-02	1.385475e-02	-9.664280e-03	-3.546066e-03	-5.134559e-04	-3.809234e-04	-1.048789e-02	-5.770505e-03	1.250299e-02	-1.339317e-02	1.136780e-02	3.523239e-03
8	1.166761e+02	2.429403e-01	5.220512e-04	3.613299e-04	1.044650e-02	5.761985e-03	-1.227148e-02	1.379419e-02	-9.638887e-03	-3.552456e-03	-5.278501e-04	-3.772914e-04	-1.045650e-02	-5.728655e-03	1.243059e-02	-1.334428e-02	1.131165e-02	3.513777e-03
9	1.555900e+02	2.424307e-01	5.374472e-04	3.523582e-04	1.041136e-02	5.714775e-03	-1.220957e-02	1.373089e-02	-9.608858e-03	-3.547145e-03	-5.355475e-04	-3.662185e-04	-1.042460e-02	-5.683015e-03	1.236576e-02	-1.328949e-02	1.126091e-02	3.513074e-03
10	2.074827e+02	2.418773e-01	5.516300e-04	3.495976e-04	1.037678e-02	5.670036e-03	-1.214398e-02	1.366766e-02	-9.567018e-03	-3.538298e-03	-5.432305e-04	-3.564976e-04	-1.038614e-02	-5.633213e-03	1.230118e-02	-1.323465e-02	1.121093e-02	3.513089e-03
11	2.766826e+02	2.413212e-01	5.632249e-04	3.565979e-04	1.035158e-02	5.630650e-03	-1.208248e-02	1.361352e-02	-9.523043e-03	-3.523804e-03	-5.512822e-04	-3.498631e-04	-1.034294e-02	-5.581637e-03	1.224131e-02	-1.317621e-02	1.117182e-02	3.511930e-03
12	3.689621e+02	2.407329e-01	5.701911e-04	3.570381e-04	1.031900e-02	5.592241e-03	-1.201938e-02	1.355090e-02	-9.488326e-03	-3.517622e-03	-5.612862e-04	-3.455243e-04	-1.030496e-02	-5.537977e-03	1.217942e-02	-1.312066e-02	1.112068e-02	3.504867e-03
13	4.920189e+02	2.401587e-01	5.701478e-04	3.466726e-04	1.027681e-02	5.549266e-03	-1.196878e-02	1.348846e-02	-9.464290e-03	-3.523413e-03	-5.733717e-04	-3.445090e-04	-1.028372e-02	-5.509985e-03	1.211941e-02	-1.307296e-02	1.106391e-02	3.486017e-03
14	6.561178e+02	2.395378e-01	5.742004e-04	3.368905e-04	1.023940e-02	5.509047e-03	-1.191009e-02	1.342430e-02	-9.424394e-03	-3.522838e-03	-5.816093e-04	-3.429249e-04	-1.025070e-02	-5.473485e-03	1.205950e-02	-1.301841e-02	1.100873e-02	3.468463e-03
15	8.749471e+02	2.389867e-01	5.864693e-04	3.311758e-04	1.021412e-02	5.478655e-03	-1.184576e-02	1.338332e-02	-9.384517e-03	-3.508807e-03	-5.774754e-04	-3.397633e-04	-1.020803e-02	-5.428477e-03	1.201354e-02	-1.295939e-02	1.095578e-02	3.456314e-03
16	1.166761e+03	2.383974e-01	5.935524e-04	3.301390e-04	1.018294e-02	5.448760e-03	-1.178966e-02	1.333517e-02	-9.346651e-03	-3.501850e-03	-5.787004e-04	-3.373494e-04	-1.017497e-02	-5.391000e-03	1.195817e-02	-1.291028e-02	1.090609e-02	3.443276e-03
17	1.555900e+03	2.378024e-01	5.934280e-04	3.344445e-04	1.014563e-02	5.415455e-03	-1.173906e-02	1.327948e-02	-9.307081e-03	-3.506434e-03	-5.876920e-04	-3.365154e-04	-1.015086e-02	-5.357464e-03	1.189739e-02	-1.286680e-02	1.085340e-02	3.429535e-03
18	2.074827e+03	2.371949e-01	5.963320e-04	3.365942e-04	1.011318e-02	5.384508e-03	-1.168790e-02	1.322562e-02	-9.266695e-03	-3.503913e-03	-5.938336e-04	-3.338435e-04	-1.012179e-02	-5.328092e-03	1.184153e-02	-1.281656e-02	1.080232e-02	3.419690e-03
19	2.766826e+03	2.366240e-01	6.040436e-04	3.354051e-04	1.009051e-02	5.361135e-03	-1.164070e-02	1.316865e-02	-9.230044e-03	-3.492668e-03	-5.968880e-04	-3.288005e-04	-1.008421e-02	-5.304398e-03	1.180033e-02	-1.276148e-02	1.075645e-02	3.417466e-03
20	3.689621e+03	2.360261e-01	6.101572e-04	3.334918e-04	1.006221e-02	5.329754e-03	-1.159198e-02	1.311487e-02	-9.201034e-03	-3.484364e-03	-6.032203e-04	-3.260274e-04	-1.004678e-02	-5.276544e-03	1.175149e-02	-1.270710e-02	1.070664e-02	3.408423e-03
21	4.920189e+03	2.354159e-01	6.134677e-04	3.313231e-04	1.002738e-02	5.291667e-03	-1.154372e-02	1.306318e-02	-9.169279e-03	-3.481742e-03	-6.140188e-04	-3.266815e-04	-1.001471e-02	-5.242361e-03	1.170396e-02	-1.266176e-02	1.064941e-02	3.389204e-03
22	6.561178e+03	2.348045e-01	6.156415e-04	3.252524e-04	9.995125e-03	5.255644e-03	-1.149771e-02	1.301136e-02	-9.132620e-03	-3.478097e-03	-6.223168e-04	-3.300284e-04	-9.991547e-03	-5.212620e-03	1.164985e-02	-1.261012e-02	1.058735e-02	3.367397e-03
23	8.749471e+03	2.342213e-01	6.131295e-04	3.123992e-04	9.966257e-03	5.216395e-03	-1.146540e-02	1.295965e-02	-9.089346e-03	-3.471943e-03	-6.265319e-04	-3.390905e-04	-9.983470e-03	-5.190116e-03	1.159653e-02	-1.256183e-02	1.052703e-02	3.347436e-03
