	Q2_mean	D_ff	D_ff_plus_replica_1	D_ff_plus_replica_2	D_ff_plus_replica_3	D_ff_plus_replica_4	D_ff_plus_replica_5	D_ff_plus_replica_6	D_ff_plus_replica_7	D_ff_plus_replica_8	D_ff_minus_replica_1	D_ff_minus_replica_2	D_ff_minus_replica_3	D_ff_minus_replica_4	D_ff_minus_replica_5	D_ff_minus_replica_6	D_ff_minus_replica_7	D_ff_minus_replica_8
0	1.166761e+01	1.277767e-03	3.276602e-04	-1.287272e-04	-2.122866e-04	5.874979e-05	2.063299e-04	-9.890048e-05	8.346049e-05	-3.055112e-04	-3.275532e-04	1.288732e-04	2.123191e-04	-5.871930e-05	-2.063250e-04	9.908462e-05	-8.362762e-05	3.393157e-04
1	1.555900e+01	1.504714e-03	3.586946e-04	-1.405845e-04	-2.274693e-04	6.573545e-05	2.212239e-04	-1.030705e-04	8.861208e-05	-3.318496e-04	-3.584229e-04	1.410200e-04	2.278820e-04	-6.547985e-05	-2.209710e-04	1.036282e-04	-8.872259e-05	3.605382e-04
2	2.074827e+01	1.692094e-03	3.820277e-04	-1.498518e-04	-2.379485e-04	7.132905e-05	2.312120e-04	-1.048479e-04	9.180642e-05	-3.513695e-04	-3.815699e-04	1.502019e-04	2.382379e-04	-7.097467e-05	-2.309455e-04	1.054258e-04	-9.205881e-05	3.749629e-04
3	2.766826e+01	1.895597e-03	4.074876e-04	-1.602774e-04	-2.492743e-04	7.750347e-05	2.418038e-04	-1.065392e-04	9.505732e-05	-3.725134e-04	-4.071715e-04	1.605122e-04	2.494008e-04	-7.716875e-05	-2.415161e-04	1.069106e-04	-9.557972e-05	3.898233e-04
4	3.689621e+01	2.069207e-03	4.293860e-04	-1.700886e-04	-2.585961e-04	8.305209e-05	2.501235e-04	-1.071330e-04	9.715854e-05	-3.903777e-04	-4.293154e-04	1.700803e-04	2.586642e-04	-8.291115e-05	-2.499024e-04	1.070626e-04	-9.834789e-05	4.010999e-04
5	4.920189e+01	2.237009e-03	4.481327e-04	-1.777695e-04	-2.659307e-04	8.767784e-05	2.569150e-04	-1.072836e-04	9.899916e-05	-4.053464e-04	-4.481476e-04	1.777369e-04	2.659383e-04	-8.771161e-05	-2.567648e-04	1.071716e-04	-1.003848e-04	4.091396e-04
6	6.561178e+01	2.426399e-03	4.675725e-04	-1.851726e-04	-2.730410e-04	9.232675e-05	2.636636e-04	-1.071736e-04	1.009260e-04	-4.200837e-04	-4.673131e-04	1.853471e-04	2.730462e-04	-9.256317e-05	-2.636254e-04	1.072684e-04	-1.023117e-04	4.172051e-04
7	8.749471e+01	2.591061e-03	4.817895e-04	-1.903896e-04	-2.778135e-04	9.602181e-05	2.683838e-04	-1.072417e-04	1.021931e-04	-4.310928e-04	-4.815699e-04	1.905381e-04	2.776964e-04	-9.617099e-05	-2.685176e-04	1.070436e-04	-1.040164e-04	4.215776e-04
8	1.166761e+02	2.757795e-03	4.952531e-04	-1.950994e-04	-2.818190e-04	9.943795e-05	2.727854e-04	-1.071012e-04	1.033513e-04	-4.408095e-04	-4.949409e-04	1.950841e-04	2.816869e-04	-9.951213e-05	-2.729141e-04	1.067568e-04	-1.054236e-04	4.245669e-04
9	1.555900e+02	2.926191e-03	5.075570e-04	-1.989842e-04	-2.848718e-04	1.024612e-04	2.766788e-04	-1.066461e-04	1.043625e-04	-4.496803e-04	-5.072708e-04	1.989219e-04	2.848134e-04	-1.025133e-04	-2.767201e-04	1.063809e-04	-1.065315e-04	4.266331e-04
