	Q2_mean	D_ff	D_ff_plus_replica_1	D_ff_plus_replica_2	D_ff_plus_replica_3	D_ff_plus_replica_4	D_ff_plus_replica_5	D_ff_plus_replica_6	D_ff_plus_replica_7	D_ff_plus_replica_8	D_ff_minus_replica_1	D_ff_minus_replica_2	D_ff_minus_replica_3	D_ff_minus_replica_4	D_ff_minus_replica_5	D_ff_minus_replica_6	D_ff_minus_replica_7	D_ff_minus_replica_8
0	1.166761e+01	1.292102e-03	3.274799e-04	-1.288273e-04	-2.117023e-04	5.871112e-05	2.057200e-04	-9.843482e-05	8.315302e-05	-3.058648e-04	-3.276134e-04	1.287236e-04	2.115274e-04	-5.879996e-05	-2.059379e-04	9.825576e-05	-8.354469e-05	3.390253e-04
1	1.555900e+01	1.520195e-03	3.582265e-04	-1.409368e-04	-2.271634e-04	6.548428e-05	2.204257e-04	-1.028353e-04	8.810560e-05	-3.326106e-04	-3.587469e-04	1.405538e-04	2.266869e-04	-6.574172e-05	-2.208253e-04	1.022535e-04	-8.882903e-05	3.602626e-04
2	2.074827e+01	1.708512e-03	3.818725e-04	-1.501535e-04	-2.374834e-04	7.094620e-05	2.304283e-04	-1.045309e-04	9.131739e-05	-3.518149e-04	-3.820232e-04	1.497548e-04	2.371151e-04	-7.132513e-05	-2.306939e-04	1.041730e-04	-9.219019e-05	3.747604e-04
3	2.766826e+01	1.912854e-03	4.075056e-04	-1.604851e-04	-2.485897e-04	7.709818e-05	2.409934e-04	-1.060105e-04	9.462863e-05	-3.730398e-04	-4.074357e-04	1.601392e-04	2.483304e-04	-7.746522e-05	-2.412732e-04	1.058390e-04	-9.564141e-05	3.897357e-04
4	3.689621e+01	2.085847e-03	4.292667e-04	-1.702113e-04	-2.579601e-04	8.275400e-05	2.492392e-04	-1.064577e-04	9.697223e-05	-3.907291e-04	-4.293939e-04	1.699269e-04	2.578766e-04	-8.293798e-05	-2.496127e-04	1.061725e-04	-9.818371e-05	4.013497e-04
5	4.920189e+01	2.254500e-03	4.479047e-04	-1.779441e-04	-2.653250e-04	8.762328e-05	2.560789e-04	-1.066352e-04	9.892188e-05	-4.057373e-04	-4.481461e-04	1.776366e-04	2.653134e-04	-8.780243e-05	-2.564047e-04	1.063667e-04	-1.003607e-04	4.097862e-04
6	6.561178e+01	2.443809e-03	4.673916e-04	-1.854794e-04	-2.723158e-04	9.261927e-05	2.629444e-04	-1.066228e-04	1.008436e-04	-4.208903e-04	-4.674275e-04	1.852062e-04	2.724364e-04	-9.287051e-05	-2.630954e-04	1.065089e-04	-1.025924e-04	4.172822e-04
7	8.749471e+01	2.609215e-03	4.817236e-04	-1.904870e-04	-2.767688e-04	9.616415e-05	2.678622e-04	-1.064584e-04	1.020072e-04	-4.312699e-04	-4.817837e-04	1.904438e-04	2.769849e-04	-9.642410e-05	-2.678585e-04	1.063543e-04	-1.040087e-04	4.216163e-04
8	1.166761e+02	2.774647e-03	4.950893e-04	-1.950461e-04	-2.807576e-04	9.946918e-05	2.722160e-04	-1.063125e-04	1.030368e-04	-4.411664e-04	-4.951838e-04	1.951081e-04	2.808539e-04	-9.978125e-05	-2.724400e-04	1.061086e-04	-1.053706e-04	4.252746e-04
9	1.555900e+02	2.944719e-03	5.073211e-04	-1.989440e-04	-2.841780e-04	1.024790e-04	2.758757e-04	-1.061286e-04	1.038986e-04	-4.499903e-04	-5.074687e-04	1.989312e-04	2.838612e-04	-1.028837e-04	-2.763237e-04	1.057435e-04	-1.066022e-04	4.269329e-04
10	2.074827e+02	3.114398e-03	5.188130e-04	-2.023692e-04	-2.869536e-04	1.053898e-04	2.793117e-04	-1.057822e-04	1.047896e-04	-4.579065e-04	-5.189660e-04	2.023084e-04	2.865356e-04	-1.056907e-04	-2.797576e-04	1.053765e-04	-1.076560e-04	4.277445e-04
11	2.766826e+02	3.274850e-03	5.286677e-04	-2.046136e-04	-2.883681e-04	1.080027e-04	2.821962e-04	-1.051480e-04	1.056739e-04	-4.643751e-04	-5.283433e-04	2.048726e-04	2.885112e-04	-1.079047e-04	-2.821307e-04	1.050286e-04	-1.083268e-04	4.285521e-04
