	Q2_mean	D_ff	D_ff_plus_replica_1	D_ff_plus_replica_2	D_ff_plus_replica_3	D_ff_plus_replica_4	D_ff_plus_replica_5	D_ff_plus_replica_6	D_ff_plus_replica_7	D_ff_plus_replica_8	D_ff_minus_replica_1	D_ff_minus_replica_2	D_ff_minus_replica_3	D_ff_minus_replica_4	D_ff_minus_replica_5	D_ff_minus_replica_6	D_ff_minus_replica_7	D_ff_minus_replica_8
0	1.166761e+01	1.292540e-03	3.274645e-04	-1.288397e-04	-2.117112e-04	5.869975e-05	2.057239e-04	-9.845207e-05	8.314945e-05	-3.058023e-04	-3.275880e-04	1.287317e-04	2.115972e-04	-5.880527e-05	-2.058940e-04	9.825315e-05	-8.354510e-05	3.391168e-04
1	1.555900e+01	1.520272e-03	3.581821e-04	-1.408985e-04	-2.271267e-04	6.548319e-05	2.204078e-04	-1.028515e-04	8.811128e-05	-3.324893e-04	-3.588272e-04	1.405710e-04	2.266895e-04	-6.575478e-05	-2.208130e-04	1.022541e-04	-8.882646e-05	3.605532e-04
2	2.074827e+01	1.707794e-03	3.819480e-04	-1.501318e-04	-2.374620e-04	7.096204e-05	2.304181e-04	-1.045134e-04	9.130770e-05	-3.519993e-04	-3.820760e-04	1.497575e-04	2.370876e-04	-7.130977e-05	-2.307255e-04	1.041832e-04	-9.219345e-05	3.750108e-04
3	2.766826e+01	1.911992e-03	4.074909e-04	-1.604776e-04	-2.485544e-04	7.708263e-05	2.409306e-04	-1.060041e-04	9.461441e-05	-3.730213e-04	-4.074476e-04	1.601465e-04	2.483363e-04	-7.747673e-05	-2.412291e-04	1.058403e-04	-9.565209e-05	3.899815e-04
4	3.689621e+01	2.085469e-03	4.292124e-04	-1.702342e-04	-2.579839e-04	8.274558e-05	2.492737e-04	-1.064415e-04	9.698888e-05	-3.911282e-04	-4.294507e-04	1.699173e-04	2.578926e-04	-8.297038e-05	-2.495796e-04	1.061428e-04	-9.815374e-05	4.013817e-04
5	4.920189e+01	2.254531e-03	4.478823e-04	-1.779207e-04	-2.652798e-04	8.760894e-05	2.560026e-04	-1.066071e-04	9.892174e-05	-4.057999e-04	-4.481827e-04	1.776614e-04	2.652845e-04	-8.781028e-05	-2.563619e-04	1.063581e-04	-1.003531e-04	4.096528e-04
6	6.561178e+01	2.443965e-03	4.673235e-04	-1.854721e-04	-2.723286e-04	9.260328e-05	2.629724e-04	-1.066235e-04	1.008760e-04	-4.207570e-04	-4.675587e-04	1.852126e-04	2.724841e-04	-9.287988e-05	-2.632037e-04	1.065352e-04	-1.025798e-04	4.177915e-04
7	8.749471e+01	2.608705e-03	4.816814e-04	-1.905204e-04	-2.767619e-04	9.616483e-05	2.678553e-04	-1.064583e-04	1.020022e-04	-4.312478e-04	-4.816981e-04	1.904362e-04	2.769781e-04	-9.640393e-05	-2.678974e-04	1.063534e-04	-1.039881e-04	4.216010e-04
8	1.166761e+02	2.775606e-03	4.950377e-04	-1.950504e-04	-2.807730e-04	9.945587e-05	2.722091e-04	-1.063029e-04	1.030249e-04	-4.411348e-04	-4.952098e-04	1.951026e-04	2.808725e-04	-9.978247e-05	-2.723530e-04	1.061256e-04	-1.053557e-04	4.250456e-04
9	1.555900e+02	2.944805e-03	5.073760e-04	-1.989976e-04	-2.842040e-04	1.024770e-04	2.758554e-04	-1.061438e-04	1.039064e-04	-4.499031e-04	-5.074540e-04	1.989054e-04	2.838471e-04	-1.028701e-04	-2.763479e-04	1.057318e-04	-1.065938e-04	4.270475e-04
