	Q2_mean	D_ff	D_ff_plus_replica_1	D_ff_plus_replica_2	D_ff_plus_replica_3	D_ff_plus_replica_4	D_ff_plus_replica_5	D_ff_plus_replica_6	D_ff_plus_replica_7	D_ff_plus_replica_8	D_ff_minus_replica_1	D_ff_minus_replica_2	D_ff_minus_replica_3	D_ff_minus_replica_4	D_ff_minus_replica_5	D_ff_minus_replica_6	D_ff_minus_replica_7	D_ff_minus_replica_8
0	1.166761e+01	9.810962e-03	1.223121e-03	-4.689169e-04	-5.672007e-04	3.151452e-04	5.239369e-04	-1.005988e-04	1.284505e-04	-1.345442e-03	-1.223148e-03	4.689069e-04	5.668735e-04	-3.145634e-04	-5.217474e-04	1.063859e-04	-1.110226e-04	1.886292e-03
1	1.555900e+01	1.061121e-02	1.251843e-03	-4.779573e-04	-5.553988e-04	3.312344e-04	5.100544e-04	-7.484438e-05	1.143987e-04	-1.364554e-03	-1.251601e-03	4.780503e-04	5.549032e-04	-3.305772e-04	-5.077007e-04	8.092018e-05	-9.587625e-05	1.868678e-03
2	2.074827e+01	1.129811e-02	1.268956e-03	-4.789444e-04	-5.420147e-04	3.410289e-04	4.973110e-04	-5.643831e-05	1.041121e-04	-1.373930e-03	-1.268814e-03	4.794231e-04	5.420409e-04	-3.398092e-04	-4.944624e-04	6.247844e-05	-8.462551e-05	1.843325e-03
3	2.766826e+01	1.212389e-02	1.285768e-03	-4.743546e-04	-5.273209e-04	3.489917e-04	4.847480e-04	-4.122640e-05	9.529996e-05	-1.379599e-03	-1.285729e-03	4.749270e-04	5.278595e-04	-3.473543e-04	-4.818854e-04	4.678132e-05	-7.495487e-05	1.812089e-03
4	3.689621e+01	1.303540e-02	1.295935e-03	-4.555282e-04	-5.145133e-04	3.482741e-04	4.776188e-04	-4.100825e-05	9.387893e-05	-1.376522e-03	-1.295927e-03	4.559150e-04	5.147505e-04	-3.470652e-04	-4.756616e-04	4.470163e-05	-7.363381e-05	1.773992e-03
5	4.920189e+01	1.385451e-02	1.302096e-03	-4.368648e-04	-5.006757e-04	3.470076e-04	4.702570e-04	-4.048366e-05	9.201286e-05	-1.370466e-03	-1.302339e-03	4.370390e-04	5.008016e-04	-3.459003e-04	-4.688957e-04	4.248200e-05	-7.208786e-05	1.735419e-03
6	6.561178e+01	1.472666e-02	1.306552e-03	-4.156502e-04	-4.843958e-04	3.450559e-04	4.616807e-04	-3.956076e-05	8.970126e-05	-1.361972e-03	-1.306729e-03	4.158183e-04	4.840623e-04	-3.440457e-04	-4.606608e-04	3.992041e-05	-7.004368e-05	1.690535e-03
7	8.749471e+01	1.541320e-02	1.306911e-03	-3.970815e-04	-4.691970e-04	3.428233e-04	4.535162e-04	-3.843598e-05	8.769486e-05	-1.350796e-03	-1.306744e-03	3.973653e-04	4.691563e-04	-3.415951e-04	-4.527836e-04	3.768481e-05	-6.825848e-05	1.649531e-03
8	1.166761e+02	1.608792e-02	1.305292e-03	-3.782132e-04	-4.530421e-04	3.402821e-04	4.450733e-04	-3.700542e-05	8.539495e-05	-1.338822e-03	-1.304999e-03	3.780909e-04	4.535639e-04	-3.388411e-04	-4.445277e-04	3.529548e-05	-6.648470e-05	1.607837e-03
9	1.555900e+02	1.672662e-02	1.301214e-03	-3.587498e-04	-4.358202e-04	3.374545e-04	4.360272e-04	-3.505027e-05	8.271971e-05	-1.325144e-03	-1.301349e-03	3.581961e-04	4.370437e-04	-3.357873e-04	-4.356666e-04	3.290237e-05	-6.486266e-05	1.566467e-03
10	2.074827e+02	1.734797e-02	1.296639e-03	-3.385205e-04	-4.179465e-04	3.345518e-04	4.275876e-04	-3.285167e-05	8.039144e-05	-1.309732e-03	-1.295640e-03	3.389397e-04	4.201563e-04	-3.325066e-04	-4.262935e-04	3.064621e-05	-6.240150e-05	1.521913e-03
11	2.766826e+02	1.790346e-02	1.290576e-03	-3.185112e-04	-3.995628e-04	3.314288e-04	4.201807e-04	-3.037695e-05	7.884624e-05	-1.293675e-03	-1.287786e-03	3.222601e-04	4.039028e-04	-3.283224e-04	-4.167800e-04	2.879736e-05	-5.870219e-05	1.481558e-03
12	3.689621e+02	1.843088e-02	1.283159e-03	-2.991673e-04	-3.819997e-04	3.285323e-04	4.114535e-04	-2.801073e-05	7.692556e-05	-1.277030e-03	-1.279545e-03	3.042914e-04	3.864788e-04	-3.250537e-04	-4.074493e-04	2.667372e-05	-5.606339e-05	1.439000e-03
13	4.920189e+02	1.890667e-02	1.274163e-03	-2.821738e-04	-3.662103e-04	3.258692e-04	4.010558e-04	-2.591139e-05	7.447670e-05	-1.261366e-03	-1.270933e-03	2.850527e-04	3.689189e-04	-3.228633e-04	-3.990657e-04	2.436572e-05	-5.510184e-05	1.400614e-03
14	6.561178e+02	1.939002e-02	1.263610e-03	-2.648563e-04	-3.496023e-04	3.215023e-04	3.904986e-04	-2.460755e-05	7.128409e-05	-1.243307e-03	-1.261447e-03	2.658251e-04	3.502748e-04	-3.197773e-04	-3.906028e-04	2.142862e-05	-5.383130e-05	1.357624e-03
15	8.749471e+02	1.980496e-02	1.251407e-03	-2.502250e-04	-3.335929e-04	3.147002e-04	3.815027e-04	-2.505848e-05	6.713998e-05	-1.225073e-03	-1.250747e-03	2.499561e-04	3.332988e-04	-3.153224e-04	-3.831964e-04	1.768502e-05	-5.245135e-05	1.317692e-03
16	1.166761e+03	2.019537e-02	1.238999e-03	-2.345818e-04	-3.169974e-04	3.093838e-04	3.726830e-04	-2.401842e-05	6.447631e-05	-1.207773e-03	-1.239093e-03	2.340724e-04	3.159980e-04	-3.107089e-04	-3.747016e-04	1.477301e-05	-5.125364e-05	1.278540e-03
