	Q2_mean	D_ff	D_ff_plus_replica_1	D_ff_plus_replica_2	D_ff_plus_replica_3	D_ff_plus_replica_4	D_ff_plus_replica_5	D_ff_plus_replica_6	D_ff_plus_replica_7	D_ff_plus_replica_8	D_ff_minus_replica_1	D_ff_minus_replica_2	D_ff_minus_replica_3	D_ff_minus_replica_4	D_ff_minus_replica_5	D_ff_minus_replica_6	D_ff_minus_replica_7	D_ff_minus_replica_8
0	1.166761e+01	1.292169e-03	3.274996e-04	-1.288176e-04	-2.117368e-04	5.871561e-05	2.057450e-04	-9.844183e-05	8.315071e-05	-3.058147e-04	-3.276288e-04	1.287118e-04	2.115244e-04	-5.880034e-05	-2.058770e-04	9.826083e-05	-8.354471e-05	3.390232e-04
1	1.555900e+01	1.520062e-03	3.582224e-04	-1.409239e-04	-2.271366e-04	6.548458e-05	2.204196e-04	-1.028392e-04	8.812546e-05	-3.325868e-04	-3.587980e-04	1.405369e-04	2.267105e-04	-6.575994e-05	-2.208457e-04	1.022486e-04	-8.883489e-05	3.604414e-04
2	2.074827e+01	1.708564e-03	3.818531e-04	-1.501114e-04	-2.374120e-04	7.096066e-05	2.303686e-04	-1.045170e-04	9.132075e-05	-3.519105e-04	-3.819732e-04	1.497653e-04	2.371415e-04	-7.131723e-05	-2.306911e-04	1.041893e-04	-9.219592e-05	3.746980e-04
3	2.766826e+01	1.912323e-03	4.074531e-04	-1.604992e-04	-2.486133e-04	7.709140e-05	2.409756e-04	-1.059951e-04	9.463067e-05	-3.730385e-04	-4.074412e-04	1.600659e-04	2.483174e-04	-7.746378e-05	-2.412042e-04	1.058611e-04	-9.562562e-05	3.900373e-04
4	3.689621e+01	2.085937e-03	4.291168e-04	-1.701842e-04	-2.579684e-04	8.275971e-05	2.492162e-04	-1.064257e-04	9.698652e-05	-3.910074e-04	-4.294628e-04	1.699114e-04	2.578659e-04	-8.295845e-05	-2.496009e-04	1.061534e-04	-9.815476e-05	4.015254e-04
5	4.920189e+01	2.254840e-03	4.479756e-04	-1.779178e-04	-2.652543e-04	8.761314e-05	2.560694e-04	-1.066276e-04	9.893626e-05	-4.057983e-04	-4.481901e-04	1.776805e-04	2.652979e-04	-8.780449e-05	-2.564514e-04	1.063394e-04	-1.003582e-04	4.098608e-04
6	6.561178e+01	2.444222e-03	4.673766e-04	-1.855188e-04	-2.722801e-04	9.260545e-05	2.629597e-04	-1.066373e-04	1.008616e-04	-4.207805e-04	-4.675747e-04	1.852207e-04	2.725353e-04	-9.288759e-05	-2.631227e-04	1.065140e-04	-1.025778e-04	4.176060e-04
7	8.749471e+01	2.609142e-03	4.816310e-04	-1.904941e-04	-2.767902e-04	9.616047e-05	2.678460e-04	-1.064984e-04	1.019757e-04	-4.313121e-04	-4.816328e-04	1.904699e-04	2.770215e-04	-9.642761e-05	-2.679626e-04	1.063627e-04	-1.040210e-04	4.218168e-04
8	1.166761e+02	2.774370e-03	4.951511e-04	-1.950601e-04	-2.808021e-04	9.949955e-05	2.722425e-04	-1.063274e-04	1.030319e-04	-4.410177e-04	-4.951146e-04	1.950920e-04	2.808575e-04	-9.979779e-05	-2.723778e-04	1.061383e-04	-1.053442e-04	4.251612e-04
9	1.555900e+02	2.944860e-03	5.072108e-04	-1.989503e-04	-2.842218e-04	1.024676e-04	2.758251e-04	-1.061486e-04	1.038880e-04	-4.499922e-04	-5.075141e-04	1.989402e-04	2.838733e-04	-1.028849e-04	-2.763583e-04	1.057153e-04	-1.065972e-04	4.269369e-04
