	Q2_mean	D_ff	D_ff_plus_replica_1	D_ff_plus_replica_2	D_ff_plus_replica_3	D_ff_plus_replica_4	D_ff_plus_replica_5	D_ff_plus_replica_6	D_ff_plus_replica_7	D_ff_plus_replica_8	D_ff_minus_replica_1	D_ff_minus_replica_2	D_ff_minus_replica_3	D_ff_minus_replica_4	D_ff_minus_replica_5	D_ff_minus_replica_6	D_ff_minus_replica_7	D_ff_minus_replica_8
0	1.166761e+01	1.292275e-03	3.274667e-04	-1.288107e-04	-2.117377e-04	5.871373e-05	2.057014e-04	-9.843851e-05	8.314526e-05	-3.059069e-04	-3.276090e-04	1.287035e-04	2.115616e-04	-5.880733e-05	-2.058663e-04	9.825246e-05	-8.353142e-05	3.389463e-04
1	1.555900e+01	1.520536e-03	3.582194e-04	-1.409006e-04	-2.271244e-04	6.550221e-05	2.204312e-04	-1.028375e-04	8.810384e-05	-3.324297e-04	-3.587484e-04	1.405892e-04	2.267380e-04	-6.575194e-05	-2.208005e-04	1.022563e-04	-8.883029e-05	3.603835e-04
2	2.074827e+01	1.708701e-03	3.818286e-04	-1.501094e-04	-2.374079e-04	7.096653e-05	2.303456e-04	-1.045088e-04	9.132547e-05	-3.518909e-04	-3.819715e-04	1.497289e-04	2.371005e-04	-7.132902e-05	-2.306945e-04	1.041890e-04	-9.218524e-05	3.747807e-04
3	2.766826e+01	1.912358e-03	4.074983e-04	-1.604630e-04	-2.486164e-04	7.708131e-05	2.409932e-04	-1.060205e-04	9.462344e-05	-3.728221e-04	-4.073155e-04	1.601185e-04	2.483752e-04	-7.746469e-05	-2.411654e-04	1.058353e-04	-9.566782e-05	3.899619e-04
4	3.689621e+01	2.085811e-03	4.292042e-04	-1.702001e-04	-2.579827e-04	8.275060e-05	2.492335e-04	-1.064552e-04	9.698687e-05	-3.908956e-04	-4.294065e-04	1.698905e-04	2.578944e-04	-8.297204e-05	-2.496231e-04	1.061438e-04	-9.815321e-05	4.013987e-04
5	4.920189e+01	2.254349e-03	4.478986e-04	-1.779345e-04	-2.652286e-04	8.761675e-05	2.560589e-04	-1.066180e-04	9.894800e-05	-4.056788e-04	-4.482058e-04	1.776875e-04	2.653352e-04	-8.779173e-05	-2.563691e-04	1.063441e-04	-1.003541e-04	4.095957e-04
6	6.561178e+01	2.443991e-03	4.674556e-04	-1.855431e-04	-2.723373e-04	9.262577e-05	2.629944e-04	-1.066298e-04	1.008768e-04	-4.208727e-04	-4.674800e-04	1.852163e-04	2.725469e-04	-9.287351e-05	-2.630703e-04	1.065260e-04	-1.025742e-04	4.175168e-04
7	8.749471e+01	2.608554e-03	4.816969e-04	-1.904969e-04	-2.767312e-04	9.615208e-05	2.678522e-04	-1.064768e-04	1.020019e-04	-4.312672e-04	-4.816602e-04	1.905027e-04	2.769809e-04	-9.644942e-05	-2.678545e-04	1.063588e-04	-1.040089e-04	4.219361e-04
8	1.166761e+02	2.775753e-03	4.950817e-04	-1.950142e-04	-2.807866e-04	9.945799e-05	2.721823e-04	-1.063161e-04	1.030233e-04	-4.411562e-04	-4.950698e-04	1.950962e-04	2.808616e-04	-9.979790e-05	-2.723946e-04	1.061252e-04	-1.053753e-04	4.252384e-04
9	1.555900e+02	2.944330e-03	5.073018e-04	-1.989493e-04	-2.841910e-04	1.024782e-04	2.758530e-04	-1.061496e-04	1.039062e-04	-4.498723e-04	-5.073906e-04	1.989350e-04	2.838879e-04	-1.028793e-04	-2.763127e-04	1.057207e-04	-1.066141e-04	4.267902e-04
10	2.074827e+02	3.114389e-03	5.188687e-04	-2.023427e-04	-2.869286e-04	1.053661e-04	2.793069e-04	-1.057675e-04	1.047958e-04	-4.580545e-04	-5.190858e-04	2.022637e-04	2.865535e-04	-1.056833e-04	-2.797225e-04	1.053689e-04	-1.076402e-04	4.278901e-04
11	2.766826e+02	3.275679e-03	5.285067e-04	-2.046176e-04	-2.883269e-04	1.079688e-04	2.821569e-04	-1.051433e-04	1.056854e-04	-4.641845e-04	-5.283438e-04	2.048792e-04	2.884585e-04	-1.078781e-04	-2.822026e-04	1.050061e-04	-1.083342e-04	4.282003e-04
12	3.689621e+02	3.434546e-03	5.378226e-04	-2.067013e-04	-2.895447e-04	1.102637e-04	2.847622e-04	-1.045845e-04	1.063218e-04	-4.699918e-04	-5.372900e-04	2.069631e-04	2.899803e-04	-1.101236e-04	-2.845184e-04	1.044897e-04	-1.090075e-04	4.277901e-04
13	4.920189e+02	3.585705e-03	5.450285e-04	-2.082646e-04	-2.902916e-04	1.119678e-04	2.864307e-04	-1.041241e-04	1.065179e-04	-4.746173e-04	-5.449053e-04	2.082070e-04	2.903630e-04	-1.122780e-04	-2.867051e-04	1.037314e-04	-1.095952e-04	4.260745e-04
14	6.561178e+02	3.742977e-03	5.523609e-04	-2.095901e-04	-2.908117e-04	1.136445e-04	2.880755e-04	-1.036258e-04	1.067280e-04	-4.794879e-04	-5.525549e-04	2.093957e-04	2.905977e-04	-1.142468e-04	-2.886883e-04	1.030111e-04	-1.102029e-04	4.244245e-04
15	8.749471e+02	3.884247e-03	5.582172e-04	-2.102451e-04	-2.908051e-04	1.150828e-04	2.891743e-04	-1.030946e-04	1.068863e-04	-4.827519e-04	-5.585896e-04	2.100814e-04	2.904080e-04	-1.156864e-04	-2.898679e-04	1.025097e-04	-1.106809e-04	4.221044e-04
16	1.166761e+03	4.022797e-03	5.636955e-04	-2.106609e-04	-2.903311e-04	1.164657e-04	2.901820e-04	-1.024812e-04	1.069007e-04	-4.854944e-04	-5.641848e-04	2.105252e-04	2.899119e-04	-1.169425e-04	-2.908863e-04	1.019755e-04	-1.110465e-04	4.192324e-04
17	1.555900e+03	4.157406e-03	5.687852e-04	-2.106997e-04	-2.892996e-04	1.177325e-04	2.911583e-04	-1.017937e-04	1.067673e-04	-4.875251e-04	-5.689801e-04	2.106151e-04	2.893393e-04	-1.179923e-04	-2.915112e-04	1.013773e-04	-1.111097e-04	4.163687e-04
18	2.074827e+03	4.289905e-03	5.730542e-04	-2.105996e-04	-2.882289e-04	1.187837e-04	2.917898e-04	-1.011063e-04	1.066068e-04	-4.895671e-04	-5.732349e-04	2.105632e-04	2.884472e-04	-1.189783e-04	-2.920036e-04	1.006831e-04	-1.112201e-04	4.128484e-04
