	Q2_mean	D_ff	D_ff_plus_replica_1	D_ff_plus_replica_2	D_ff_plus_replica_3	D_ff_plus_replica_4	D_ff_plus_replica_5	D_ff_plus_replica_6	D_ff_plus_replica_7	D_ff_plus_replica_8	D_ff_minus_replica_1	D_ff_minus_replica_2	D_ff_minus_replica_3	D_ff_minus_replica_4	D_ff_minus_replica_5	D_ff_minus_replica_6	D_ff_minus_replica_7	D_ff_minus_replica_8
0	1.166761e+01	1.292184e-03	3.274486e-04	-1.288291e-04	-2.116671e-04	5.869888e-05	2.057252e-04	-9.843853e-05	8.314332e-05	-3.058721e-04	-3.276219e-04	1.287099e-04	2.115497e-04	-5.879875e-05	-2.058797e-04	9.826148e-05	-8.353706e-05	3.389853e-04
1	1.555900e+01	1.520115e-03	3.582850e-04	-1.409105e-04	-2.271710e-04	6.549921e-05	2.204125e-04	-1.028240e-04	8.811306e-05	-3.324908e-04	-3.587599e-04	1.405576e-04	2.266778e-04	-6.575396e-05	-2.208212e-04	1.022548e-04	-8.884685e-05	3.603541e-04
2	2.074827e+01	1.708190e-03	3.818560e-04	-1.501206e-04	-2.374509e-04	7.096342e-05	2.304655e-04	-1.045061e-04	9.130282e-05	-3.518768e-04	-3.819585e-04	1.497418e-04	2.371443e-04	-7.130646e-05	-2.307143e-04	1.042030e-04	-9.218639e-05	3.747070e-04
3	2.766826e+01	1.912240e-03	4.074797e-04	-1.604942e-04	-2.485875e-04	7.707705e-05	2.409813e-04	-1.060134e-04	9.462109e-05	-3.730330e-04	-4.074993e-04	1.601275e-04	2.483696e-04	-7.747542e-05	-2.412167e-04	1.058321e-04	-9.566326e-05	3.898601e-04
4	3.689621e+01	2.086216e-03	4.292054e-04	-1.702219e-04	-2.579381e-04	8.277010e-05	2.492155e-04	-1.064508e-04	9.697185e-05	-3.908620e-04	-4.295058e-04	1.699395e-04	2.579262e-04	-8.296011e-05	-2.496123e-04	1.061504e-04	-9.817214e-05	4.013124e-04
5	4.920189e+01	2.254102e-03	4.478831e-04	-1.779204e-04	-2.652845e-04	8.762301e-05	2.560708e-04	-1.066108e-04	9.894698e-05	-4.057756e-04	-4.482581e-04	1.776684e-04	2.652813e-04	-8.781940e-05	-2.563437e-04	1.063580e-04	-1.003544e-04	4.100197e-04
6	6.561178e+01	2.443977e-03	4.673604e-04	-1.854699e-04	-2.723358e-04	9.261786e-05	2.629382e-04	-1.066287e-04	1.008512e-04	-4.207144e-04	-4.674208e-04	1.852312e-04	2.724618e-04	-9.288478e-05	-2.631606e-04	1.065348e-04	-1.025815e-04	4.176244e-04
7	8.749471e+01	2.608958e-03	4.817279e-04	-1.905643e-04	-2.767822e-04	9.615324e-05	2.678313e-04	-1.064827e-04	1.019943e-04	-4.313577e-04	-4.816060e-04	1.904794e-04	2.770215e-04	-9.646833e-05	-2.679114e-04	1.063648e-04	-1.040216e-04	4.215406e-04
8	1.166761e+02	2.775843e-03	4.951578e-04	-1.950363e-04	-2.808292e-04	9.948050e-05	2.722449e-04	-1.063365e-04	1.030100e-04	-4.411003e-04	-4.950783e-04	1.951486e-04	2.808343e-04	-9.978650e-05	-2.723739e-04	1.061089e-04	-1.053461e-04	4.250999e-04
9	1.555900e+02	2.944623e-03	5.072464e-04	-1.990038e-04	-2.841944e-04	1.024619e-04	2.759280e-04	-1.061441e-04	1.038936e-04	-4.498860e-04	-5.074545e-04	1.988915e-04	2.838525e-04	-1.028743e-04	-2.763288e-04	1.057325e-04	-1.066019e-04	4.267559e-04
