	Q2_mean	D_ff	D_ff_plus_replica_1	D_ff_plus_replica_2	D_ff_plus_replica_3	D_ff_plus_replica_4	D_ff_plus_replica_5	D_ff_plus_replica_6	D_ff_plus_replica_7	D_ff_plus_replica_8	D_ff_minus_replica_1	D_ff_minus_replica_2	D_ff_minus_replica_3	D_ff_minus_replica_4	D_ff_minus_replica_5	D_ff_minus_replica_6	D_ff_minus_replica_7	D_ff_minus_replica_8
0	1.166761e+01	1.292317e-03	3.274206e-04	-1.288398e-04	-2.117652e-04	5.870532e-05	2.057362e-04	-9.844947e-05	8.314838e-05	-3.057863e-04	-3.275767e-04	1.287144e-04	2.115608e-04	-5.879641e-05	-2.058847e-04	9.826314e-05	-8.354995e-05	3.389874e-04
1	1.555900e+01	1.520536e-03	3.582891e-04	-1.409139e-04	-2.271243e-04	6.548560e-05	2.204313e-04	-1.028404e-04	8.811520e-05	-3.324649e-04	-3.587040e-04	1.405669e-04	2.266923e-04	-6.574519e-05	-2.208390e-04	1.022406e-04	-8.884446e-05	3.604102e-04
2	2.074827e+01	1.708417e-03	3.818985e-04	-1.501287e-04	-2.374492e-04	7.096606e-05	2.303537e-04	-1.045160e-04	9.132727e-05	-3.519965e-04	-3.819949e-04	1.497976e-04	2.370930e-04	-7.131402e-05	-2.306722e-04	1.041723e-04	-9.217834e-05	3.746456e-04
3	2.766826e+01	1.912496e-03	4.075253e-04	-1.605048e-04	-2.486368e-04	7.709033e-05	2.409475e-04	-1.060043e-04	9.461756e-05	-3.729884e-04	-4.073600e-04	1.601237e-04	2.484081e-04	-7.747633e-05	-2.411976e-04	1.058699e-04	-9.565130e-05	3.898292e-04
4	3.689621e+01	2.086344e-03	4.292393e-04	-1.702215e-04	-2.579919e-04	8.276637e-05	2.491614e-04	-1.064428e-04	9.698388e-05	-3.908209e-04	-4.294781e-04	1.699351e-04	2.578653e-04	-8.295534e-05	-2.496208e-04	1.061644e-04	-9.818279e-05	4.013811e-04
5	4.920189e+01	2.254155e-03	4.478885e-04	-1.779475e-04	-2.652956e-04	8.761194e-05	2.560704e-04	-1.066185e-04	9.892322e-05	-4.057579e-04	-4.481874e-04	1.776706e-04	2.653862e-04	-8.778971e-05	-2.564041e-04	1.063616e-04	-1.003520e-04	4.095834e-04
6	6.561178e+01	2.443976e-03	4.673852e-04	-1.854505e-04	-2.723310e-04	9.260659e-05	2.629281e-04	-1.066481e-04	1.008601e-04	-4.207142e-04	-4.674678e-04	1.852099e-04	2.724668e-04	-9.288584e-05	-2.631481e-04	1.065082e-04	-1.025891e-04	4.171924e-04
7	8.749471e+01	2.608507e-03	4.817707e-04	-1.904940e-04	-2.767724e-04	9.616630e-05	2.678540e-04	-1.064732e-04	1.019713e-04	-4.314082e-04	-4.816096e-04	1.904651e-04	2.770043e-04	-9.644257e-05	-2.679204e-04	1.063562e-04	-1.039967e-04	4.215760e-04
8	1.166761e+02	2.774983e-03	4.950831e-04	-1.950008e-04	-2.809075e-04	9.948704e-05	2.722025e-04	-1.063133e-04	1.030198e-04	-4.410982e-04	-4.950867e-04	1.951388e-04	2.808632e-04	-9.979908e-05	-2.723369e-04	1.061051e-04	-1.053566e-04	4.253509e-04
9	1.555900e+02	2.944121e-03	5.072796e-04	-1.989507e-04	-2.841814e-04	1.024612e-04	2.758890e-04	-1.061530e-04	1.038765e-04	-4.500028e-04	-5.075037e-04	1.989488e-04	2.838921e-04	-1.028815e-04	-2.762970e-04	1.057132e-04	-1.066105e-04	4.268384e-04
10	2.074827e+02	3.114977e-03	5.188978e-04	-2.023313e-04	-2.869271e-04	1.053745e-04	2.792911e-04	-1.057686e-04	1.047816e-04	-4.580215e-04	-5.189115e-04	2.023588e-04	2.865241e-04	-1.056595e-04	-2.797665e-04	1.053601e-04	-1.076468e-04	4.281631e-04
11	2.766826e+02	3.274719e-03	5.286936e-04	-2.046327e-04	-2.883811e-04	1.079828e-04	2.821861e-04	-1.051351e-04	1.056749e-04	-4.641689e-04	-5.283241e-04	2.048605e-04	2.885409e-04	-1.078888e-04	-2.821583e-04	1.050030e-04	-1.083335e-04	4.282245e-04
12	3.689621e+02	3.435344e-03	5.378113e-04	-2.066809e-04	-2.895123e-04	1.102815e-04	2.846829e-04	-1.045921e-04	1.063218e-04	-4.701475e-04	-5.372129e-04	2.069580e-04	2.899487e-04	-1.101138e-04	-2.844787e-04	1.044942e-04	-1.090129e-04	4.278990e-04
