xbins=30
Q2bins=24
Ebins=1
id	x	Q2	E	Central_Value	Replica_1	Replica_2	Replica_3	Replica_4	Replica_5	Replica_6	Replica_7	Replica_8
0	0	0	0	5.354483e-03	6.919745e-04	2.656885e-04	3.293775e-04	1.551860e-04	3.203335e-04	8.799900e-05	1.191310e-04	5.848650e-04
1	0	1	0	5.469482e-03	6.657260e-04	2.548330e-04	3.027795e-04	1.516570e-04	2.955155e-04	7.142350e-05	1.103385e-04	5.228205e-04
2	0	2	0	5.571832e-03	6.395045e-04	2.431135e-04	2.775015e-04	1.474205e-04	2.731715e-04	5.739450e-05	1.026580e-04	4.668645e-04
3	0	3	0	5.685104e-03	6.139140e-04	2.291720e-04	2.544240e-04	1.423500e-04	2.560245e-04	4.855150e-05	9.697950e-05	4.175495e-04
4	0	4	0	5.836892e-03	5.884780e-04	2.115635e-04	2.332435e-04	1.364480e-04	2.452815e-04	4.649300e-05	9.354850e-05	3.721960e-04
5	0	5	0	5.972775e-03	5.637050e-04	1.942135e-04	2.132580e-04	1.305205e-04	2.359705e-04	4.586950e-05	9.040250e-05	3.314545e-04
6	0	6	0	6.051724e-03	5.400830e-04	1.801945e-04	1.940410e-04	1.251865e-04	2.242740e-04	4.251650e-05	8.614200e-05	2.957560e-04
7	0	7	0	6.119518e-03	5.172350e-04	1.666010e-04	1.761100e-04	1.198965e-04	2.136795e-04	4.019000e-05	8.234550e-05	2.634530e-04
8	0	8	0	6.179301e-03	4.951845e-04	1.532860e-04	1.593700e-04	1.146790e-04	2.043235e-04	3.892350e-05	7.902400e-05	2.342640e-04
9	0	9	0	6.215309e-03	4.741125e-04	1.413610e-04	1.433970e-04	1.098195e-04	1.947415e-04	3.699250e-05	7.545250e-05	2.083410e-04
10	0	10	0	6.231817e-03	4.542500e-04	1.307395e-04	1.284875e-04	1.052970e-04	1.853630e-04	3.482800e-05	7.184600e-05	1.857850e-04
11	0	11	0	6.243620e-03	4.349890e-04	1.204550e-04	1.143925e-04	1.008205e-04	1.766510e-04	3.327400e-05	6.852100e-05	1.650025e-04
